officeListCtrl,OfficeMainCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\office\\OfficeMainCtrl.java,"<property name=""officeListCtrl"" ref=""officeListCtrl"" />",126,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
branchDetailCtrl,BranchMainCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\branch\\BranchMainCtrl.java,"<property name=""branchDetailCtrl"" ref=""branchDetailCtrl"" />",61,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
ip4CountryService,GuiLoginLoggingServiceImpl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\gui\\service\\impl\\GuiLoginLoggingServiceImpl.java,"<property name=""ip4CountryService"" ref=""ip4CountryService"" />",21,applicationContext-guiServices.xml,zksample2\zkoss\src\main\resources\applicationContext-guiServices.xml
languageDAO,UserServiceImpl.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\service\\impl\\UserServiceImpl.java,"<property name=""languageDAO"" ref=""languageDAO"" />",171,applicationContext-hibernate.xml,zksample2\spring-hibernate-backend\src\main\resources\applicationContext-hibernate.xml
interpret,YoutubeLink.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\YoutubeLink.java,"<property name=""interpret"" type=""string"">",26,YoutubeLink.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\YoutubeLink.hbm.xml
hibernateStatisticsService,GuiHibernateStatisticsServiceImpl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\gui\\service\\impl\\GuiHibernateStatisticsServiceImpl.java,"<property name=""hibernateStatisticsService"" ref=""hibernateStatisticsService"" />",40,applicationContext-guiServices.xml,zksample2\zkoss\src\main\resources\applicationContext-guiServices.xml
locked,MyCalendarEvent.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\MyCalendarEvent.java,"<property name=""locked"" type=""java.lang.Boolean"">",43,MyCalendarEvent.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\MyCalendarEvent.hbm.xml
branchListCtrl,BranchMainCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\branch\\BranchMainCtrl.java,"<property name=""branchListCtrl"" ref=""branchListCtrl"" />",60,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
ip4CountryDAO,Ip4CountryServiceImpl.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\service\\impl\\Ip4CountryServiceImpl.java,"<property name=""ip4CountryDAO"" ref=""ip4CountryDAO"" />",214,applicationContext-hibernate.xml,zksample2\spring-hibernate-backend\src\main\resources\applicationContext-hibernate.xml
rootMenuDomainFactory,ZkossMenuFactory.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\util\\ZkossMenuFactory.java,"<property name=""rootMenuDomainFactory"" ref=""metaMenuFactory"" />",56,applicationContext-guiServices.xml,zksample2\zkoss\src\main\resources\applicationContext-guiServices.xml
rootMenuDomainFactory,ZkossMenuFactory.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\util\\ZkossMenuFactory.java,"<property name=""rootMenuDomainFactory"" ref=""metaMenuFactory"" />",51,applicationContext-guiServices.xml,zksample2\zkoss\src\main\resources\applicationContext-guiServices.xml
hibernateSearchSupport,PagedListServiceImpl.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\service\\impl\\PagedListServiceImpl.java,"<property name=""hibernateSearchSupport"" ref=""hibernateSearchSupport"" />",197,applicationContext-hibernate.xml,zksample2\spring-hibernate-backend\src\main\resources\applicationContext-hibernate.xml
dropDownMenuFactory,MainMenuCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\common\\menu\\MainMenuCtrl.java,"<property name=""dropDownMenuFactory"" ref=""dropDownMenuFactory"" />",299,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
collectionRecreateCount,HibernateStatistics.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\HibernateStatistics.java,"<property name=""collectionRecreateCount"" column=""collectionrecreatecount""",38,HibernateStatistics.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\HibernateStatistics.hbm.xml
lglLoginname,SecLoginlog.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\SecLoginlog.java,"<property name=""lglLoginname"" type=""string"">",30,SecLoginlog.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\SecLoginlog.hbm.xml
ipcCountryCode3,IpToCountry.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\IpToCountry.java,"<property name=""ipcCountryCode3"" type=""string"">",35,IpToCountry.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\IpToCountry.hbm.xml
ipcCountryCode2,IpToCountry.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\IpToCountry.java,"<property name=""ipcCountryCode2"" type=""string"">",32,IpToCountry.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\IpToCountry.hbm.xml
orders,Customer.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\Customer.java,"<set name=""orders"" fetch=""select"" inverse=""true"">",52,Customer.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Customer.hbm.xml
countryCode,Ip2Country.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\Ip2Country.java,"<many-to-one name=""countryCode"" class=""de.forsthaus.backend.model.CountryCode""",33,Ip2Country.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Ip2Country.hbm.xml
ip2Countries,CountryCode.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\CountryCode.java,"<set name=""ip2Countries"" inverse=""true"" table=""log_ip2country""",33,CountryCode.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\CountryCode.hbm.xml
